title,name,medium,country,accessionyear,link,tag,wikidata
The Crucifixion with Donors and Saints Peter and Margaret of Antioch,Cornelis Engebrechtsz,Oil on wood,,1888,https://www.metmuseum.org/art/collection/search/436271,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Saint Peter', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000056', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q33923'}, {'term': 'Crucifixion', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404300', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3235597'}]",https://www.wikidata.org/wiki/Q19912208
Majnun in the Wilderness,,"Ink, transparent watercolor, and gold on paper",Iran,1945,https://www.metmuseum.org/art/collection/search/450588,"[{'term': 'Deer', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250308', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q685795'}, {'term': 'Rabbits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250218', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9394'}, {'term': 'Foxes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266520', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8331'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",
The Bay of Naples,Auguste Renoir,Oil on canvas,,1956,https://www.metmuseum.org/art/collection/search/437427,"[{'term': 'Seas', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008694', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q165'}, {'term': 'Mountains', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008795', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8502'}, {'term': 'Boats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300178749', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q35872'}]",https://www.wikidata.org/wiki/Q19912270
"Aeronautic Experiment Made at Versailles on September 19, 1783","Anonymous, German, 18th century","Etching, hand-colored",,1962,https://www.metmuseum.org/art/collection/search/361968,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/702004,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/701991,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/701999,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/701995,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/701996,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/701998,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/702002,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/701992,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/702003,,
,Ernest Eugène Appert,Albumen silver print from glass negative,,2012,https://www.metmuseum.org/art/collection/search/701994,,
Pear-shaped ornament design with Diana in a small temple and grotesque motifs on a black ground,Etienne Delaune,Engraving: first state,,1922,https://www.metmuseum.org/art/collection/search/751273,,
